200,400,800,1000,2000,10000,20000,30000,40000,50000
0.245,0.8,3.22,4.78,8.6,7.8,3.8,2.55,2.03,1.96
0.261,0.83,3.26,4.84,8.7,7.9,3.7,2.56,1.99,1.94
0.257,0.84,3.3,4.9,8.8,8.2,3.9,2.59,2.07,1.98
0.251,0.82,3.24,4.76,8.5,7.8,4.2,3.3,1.98,2.08
